ts_hour,temperature_2m,relative_humidity_2m,precipitation,weather_code,wind_speed_10m,pressure_msl,cloud_cover
2022-01-01 00:00:00,2.5,48,0.0,1,12.7,1029.9,36
2022-01-01 01:00:00,1.5,51,0.0,0,11.0,1029.2,1
2022-01-01 02:00:00,0.5,53,0.0,0,9.9,1028.8,5
2022-01-01 03:00:00,-0.2,55,0.0,2,8.1,1027.9,60
2022-01-01 04:00:00,-1.1,59,0.0,2,7.4,1027.4,75
2022-01-01 05:00:00,-2.0,62,0.0,2,5.7,1026.8,64
2022-01-01 06:00:00,-2.4,63,0.0,3,5.7,1026.5,100
2022-01-01 07:00:00,-2.7,64,0.0,0,6.3,1026.9,1
2022-01-01 08:00:00,-1.0,56,0.0,0,6.9,1027.2,0
2022-01-01 09:00:00,2.8,38,0.0,0,12.6,1027.5,0
2022-01-01 10:00:00,6.1,34,0.0,0,13.9,1027.6,0
2022-01-01 11:00:00,8.3,30,0.0,0,18.8,1027.1,0
2022-01-01 12:00:00,9.6,28,0.0,0,21.8,1026.1,0
2022-01-01 13:00:00,10.7,25,0.0,0,21.7,1024.9,0
2022-01-01 14:00:00,11.6,22,0.0,0,22.0,1024.2,0
2022-01-01 15:00:00,11.5,23,0.0,0,20.9,1024.2,0
2022-01-01 16:00:00,11.0,28,0.0,0,16.4,1024.5,0
2022-01-01 17:00:00,9.3,30,0.0,0,14.2,1024.7,0
2022-01-01 18:00:00,8.0,28,0.0,0,17.0,1025.4,0
2022-01-01 19:00:00,7.4,26,0.0,0,19.5,1026.1,0
2022-01-01 20:00:00,6.1,33,0.0,0,14.0,1026.7,0
2022-01-01 21:00:00,4.8,37,0.0,0,14.8,1027.7,0
2022-01-01 22:00:00,3.2,42,0.0,0,14.1,1028.6,0
2022-01-01 23:00:00,1.2,51,0.0,0,9.2,1029.6,0
2022-01-02 00:00:00,-0.2,60,0.0,0,5.2,1030.3,0
2022-01-02 01:00:00,-1.2,66,0.0,0,6.3,1030.7,0
2022-01-02 02:00:00,-0.8,64,0.0,0,6.9,1030.9,0
2022-01-02 03:00:00,-1.2,67,0.0,0,10.3,1031.1,0
2022-01-02 04:00:00,-1.6,68,0.0,0,8.4,1031.3,0
2022-01-02 05:00:00,-1.7,69,0.0,0,8.7,1031.8,0
2022-01-02 06:00:00,-2.2,69,0.0,0,9.2,1032.4,0
2022-01-02 07:00:00,-2.7,66,0.0,0,8.6,1033.0,0
2022-01-02 08:00:00,-2.8,65,0.0,0,7.1,1033.8,6
2022-01-02 09:00:00,-0.9,54,0.0,0,8.9,1034.3,0
2022-01-02 10:00:00,0.7,45,0.0,0,9.8,1034.3,0
2022-01-02 11:00:00,2.5,38,0.0,0,11.4,1033.6,0
2022-01-02 12:00:00,4.0,34,0.0,0,10.4,1032.0,0
