edge_id,line,u_station_id,v_station_id,u_station_name,v_station_name,u_seq,v_seq,edge_type,is_undirected,weight
E_ffbfb8012b6e,10号线,ZZS_9d546847d5,ZZS_193238e3af,郑州西站,李商隐公园,1,2,track_adjacent,1,1.0
E_1202621508e0,10号线,ZZS_193238e3af,ZZS_6497dca4fb,李商隐公园,庙王,2,3,track_adjacent,1,1.0
E_dffd1fa1e488,10号线,ZZS_6497dca4fb,ZZS_5925b9eaa7,庙王,柳湖,3,4,track_adjacent,1,1.0
E_d8f83b582336,10号线,ZZS_5925b9eaa7,ZZS_f453749a84,柳湖,市委党校,4,5,track_adjacent,1,1.0
E_ee5567557d99,10号线,ZZS_f453749a84,ZZS_8b4f322227,市委党校,郑州一中,5,6,track_adjacent,1,1.0
E_824e922a0118,10号线,ZZS_8b4f322227,ZZS_6f9fa1c519,郑州一中,西流湖公园南,6,7,track_adjacent,1,1.0
E_59daa6a5e0e2,10号线,ZZS_6f9fa1c519,ZZS_90377f53c5,西流湖公园南,二砂,7,8,track_adjacent,1,1.0
E_b3925796d61f,10号线,ZZS_90377f53c5,ZZS_136c32a256,二砂,市中心医院,8,9,track_adjacent,1,1.0
E_b9ff50267a33,10号线,ZZS_136c32a256,ZZS_3813354d55,市中心医院,绿城广场,9,10,track_adjacent,1,1.0
E_3d2c4ff693fc,10号线,ZZS_3813354d55,ZZS_c9109d3d9f,绿城广场,医学院,10,11,track_adjacent,1,1.0
E_c37fcd977cce,10号线,ZZS_c9109d3d9f,ZZS_90196f31d6,医学院,郑州火车站,11,12,track_adjacent,1,1.0
E_0ec12f31be18,12号线,ZZS_4eb4353851,ZZS_b0ac143899,龙子湖东,龙子湖,1,2,track_adjacent,1,1.0
E_c9079364c47c,12号线,ZZS_b0ac143899,ZZS_ff6940526d,龙子湖,郑州东站,2,3,track_adjacent,1,1.0
E_fa6253591e30,12号线,ZZS_ff6940526d,ZZS_9b58e62d57,郑州东站,郑州东站东广场,3,4,track_adjacent,1,1.0
E_dc1dd03d5de5,12号线,ZZS_9b58e62d57,ZZS_bf7f2bfbd0,郑州东站东广场,博学路,4,5,track_adjacent,1,1.0
E_7116402c2286,12号线,ZZS_bf7f2bfbd0,ZZS_b4e7594df2,博学路,龙翔桥,5,6,track_adjacent,1,1.0
E_b00ff8f5164f,12号线,ZZS_b4e7594df2,ZZS_5babce6145,龙翔桥,中原福塔,6,7,track_adjacent,1,1.0
E_0e790cda516e,12号线,ZZS_5babce6145,ZZS_bd17c52fa6,中原福塔,儿童医院,7,8,track_adjacent,1,1.0
E_796abda3c19b,12号线,ZZS_bd17c52fa6,ZZS_eda0ec6e78,儿童医院,龙湖中环南,8,9,track_adjacent,1,1.0
E_f4e92542f211,12号线,ZZS_eda0ec6e78,ZZS_a9af1749e0,龙湖中环南,西周,9,10,track_adjacent,1,1.0
