line,seq,station_name,station_id
1号线,1,河南工业大学,ZZS_aed2ee7bb7
1号线,2,郑大科技园,ZZS_b37a0bcf35
1号线,3,郑州大学,ZZS_e4b35b2f4d
1号线,4,梧桐街,ZZS_ae1b2afcad
1号线,5,兰寨,ZZS_52a5a7940c
1号线,6,铁炉,ZZS_1acdaac4ce
1号线,7,市民中心,ZZS_d61a964e41
1号线,8,西流湖,ZZS_e67ffc082e
1号线,9,西三环,ZZS_881a48e5bb
1号线,10,秦岭路,ZZS_89f2ce9b1d
1号线,11,五一公园,ZZS_27d32a2e36
1号线,12,碧沙岗,ZZS_00f55fa149
1号线,13,绿城广场,ZZS_3813354d55
1号线,14,医学院,ZZS_c9109d3d9f
1号线,15,郑州火车站,ZZS_90196f31d6
1号线,16,二七广场,ZZS_0ccbb4888d
1号线,17,人民路,ZZS_bb3c17098a
1号线,18,紫荆山,ZZS_a14df2d44f
1号线,19,燕庄,ZZS_38180914a0
1号线,20,民航路,ZZS_ff2a277828
1号线,21,会展中心,ZZS_87213b5129
1号线,22,黄河南路,ZZS_b8d795b006
1号线,23,农业南路,ZZS_0660d199a6
1号线,24,东风南路,ZZS_065e638aef
1号线,25,郑州东站,ZZS_ff6940526d
1号线,26,博学路,ZZS_bf7f2bfbd0
1号线,27,市体育中心,ZZS_cc61daaced
1号线,28,龙子湖,ZZS_b0ac143899
1号线,29,文苑北路,ZZS_6c89efbe2c
1号线,30,河南大学新区,ZZS_5d37b2006d
2号线,1,贾河,ZZS_c180efc575
2号线,2,惠济区政府,ZZS_72de4f5f66
2号线,3,毛庄,ZZS_1a5721a427
2号线,4,黄河迎宾馆,ZZS_abc078ccd5
2号线,5,金洼,ZZS_43a808507b
2号线,6,金达路,ZZS_4d258fdd50
2号线,7,刘庄,ZZS_6b600b7696
2号线,8,柳林,ZZS_bdc2a71da9
2号线,9,沙门,ZZS_90c4ce1eb7
2号线,10,北三环,ZZS_ff256e6634
2号线,11,东风路,ZZS_ff491e6fdf
2号线,12,关虎屯,ZZS_2bd57be00d
2号线,13,黄河路,ZZS_7dd13fd23f
2号线,14,紫荆山,ZZS_a14df2d44f
2号线,15,东大街,ZZS_51e572c7c3
2号线,16,陇海东路,ZZS_a7b91da4c7
2号线,17,二里岗,ZZS_93b9249040
2号线,18,南五里堡,ZZS_20262a52f0
2号线,19,花寨,ZZS_9f383e1427
2号线,20,南三环,ZZS_02cf3e4cf5
2号线,21,站马屯,ZZS_9660c27c11
2号线,22,南四环,ZZS_54adf32b6c
3号线,1,省体育中心,ZZS_6605be2a4e
3号线,2,王砦,ZZS_662c95b759
3号线,3,兴隆铺,ZZS_9a51a2fe83
3号线,4,同乐,ZZS_973f67bf8a
3号线,5,南阳新村,ZZS_44eab6c022
3号线,6,海滩寺,ZZS_31a002aa03
3号线,7,大石桥,ZZS_c8f4a267a6
3号线,8,人民公园,ZZS_b9cd9992ce
3号线,9,二七广场,ZZS_0ccbb4888d
3号线,10,西大街,ZZS_1371fabdab
3号线,11,东大街,ZZS_51e572c7c3
3号线,12,郑州文庙,ZZS_13fc13c558
3号线,13,博览中心,ZZS_ba70aa715e
3号线,14,凤凰台,ZZS_29284451da
3号线,15,东十里铺,ZZS_28ee7061d7
3号线,16,通泰路,ZZS_6a0a21f658
3号线,17,西周,ZZS_a9af1749e0
3号线,18,东周,ZZS_25a45ff011
3号线,19,省骨科医院,ZZS_a3cc0229f4
3号线,20,圃田西,ZZS_b5c4192440
3号线,21,营岗,ZZS_5563728074
3号线,22,潮河,ZZS_ef6263ba13
3号线,23,滨河新城,ZZS_c5943bbf34
3号线,24,司赵,ZZS_05d97db6f2
3号线,25,滨河新城南,ZZS_e9c14949ec
4号线,1,老鸦陈,ZZS_047175b6e2
4号线,2,省体育中心,ZZS_6605be2a4e
4号线,3,北二十里铺,ZZS_6a9a14f197
4号线,4,丰庆路,ZZS_3546d6d127
4号线,5,张家村,ZZS_eca427650a
4号线,6,陈寨东,ZZS_548bc6fa98
4号线,7,沙门,ZZS_90c4ce1eb7
4号线,8,杨君刘,ZZS_95fb90b688
