doc_id,line,confidence,match_rule,evidence_span
ZZM_CN_500813d551fd,2号线,0.35,line_mention,2号线
ZZM_CN_24b6f9328e07,6号线,0.35,line_mention,6号线
ZZM_CN_24b6f9328e07,7号线,0.35,line_mention,7号线
ZZM_CN_24b6f9328e07,8号线,0.35,line_mention,8号线
ZZM_CN_9bc6427bda69,7号线,0.35,line_mention,7号线
ZZM_CN_9bc6427bda69,8号线,0.35,line_mention,8号线
ZZM_CN_0af7c48fb6eb,6号线,0.35,line_mention,6号线
ZZM_CN_9f81ba50bf44,7号线,0.35,line_mention,7号线
ZZM_CN_c3475c753d0a,7号线,0.35,line_mention,7号线
ZZM_CN_bcb611a9d05f,6号线,0.35,line_mention,6号线
ZZM_CN_bcb611a9d05f,7号线,0.35,line_mention,7号线
ZZM_CN_1c67e004d972,3号线,0.35,line_mention,3号线
ZZM_CN_1c67e004d972,郑许线,0.35,line_mention,郑许线
ZZM_CN_14fa267b909b,6号线,0.35,line_mention,6号线
ZZM_CN_8dd07ca4307b,4号线,0.35,line_mention,4号线
ZZM_CN_f3074d2f23ac,郑许线,0.35,line_mention,郑许线
ZZM_CN_630868bffd90,2号线,0.35,line_mention,2号线
ZZM_CN_630868bffd90,12号线,0.35,line_mention,12号线
ZZM_CN_effddb23464a,1号线,0.35,line_mention,1号线
ZZM_CN_effddb23464a,2号线,0.35,line_mention,2号线
ZZM_CN_effddb23464a,3号线,0.35,line_mention,3号线
ZZM_CN_effddb23464a,4号线,0.35,line_mention,4号线
ZZM_CN_effddb23464a,5号线,0.35,line_mention,5号线
ZZM_CN_effddb23464a,6号线,0.35,line_mention,6号线
ZZM_CN_effddb23464a,10号线,0.35,line_mention,10号线
ZZM_CN_effddb23464a,14号线,0.35,line_mention,14号线
ZZM_CN_effddb23464a,城郊线,0.35,line_mention,城郊线
ZZM_CN_395cfbc9a046,10号线,0.35,line_mention,10号线
ZZM_CN_03beed17e6b5,10号线,0.35,line_mention,10号线
ZZM_CN_2ed60ccdcd09,3号线,0.35,line_mention,3号线
ZZM_CN_2af3443a187a,3号线,0.35,line_mention,3号线
ZZM_CN_5b7961782900,1号线,0.35,line_mention,1号线
ZZM_CN_5b7961782900,2号线,0.35,line_mention,2号线
ZZM_CN_5b7961782900,5号线,0.35,line_mention,5号线
ZZM_CN_a35bf90d09f2,1号线,0.35,line_mention,1号线
ZZM_CN_77046380a452,8号线,0.35,line_mention,8号线
ZZM_CN_0a548b6c79f1,6号线,0.35,line_mention,6号线
ZZM_CN_6c627cf4a6c9,5号线,0.35,line_mention,5号线
ZZM_CN_a3dcee745f2b,1号线,0.35,line_mention,1号线
ZZM_CN_a3dcee745f2b,2号线,0.35,line_mention,2号线
ZZM_CN_33c556cccca0,1号线,0.35,line_mention,1号线
ZZM_CN_33c556cccca0,2号线,0.35,line_mention,2号线
ZZM_CN_33c556cccca0,4号线,0.35,line_mention,4号线
ZZM_CN_33c556cccca0,5号线,0.35,line_mention,5号线
ZZM_CN_ee100f820f13,1号线,0.35,line_mention,1号线
ZZM_CN_4776b7ae33af,2号线,0.35,line_mention,2号线
ZZM_CN_4776b7ae33af,城郊线,0.35,line_mention,城郊线
ZZM_CN_3d4745a0861f,1号线,0.35,line_mention,1号线
ZZM_CN_d45c6d92c060,1号线,0.35,line_mention,1号线
ZZM_CN_ce88ed60d7a7,5号线,0.35,line_mention,5号线
ZZM_CN_1bcb6ef33930,4号线,0.35,line_mention,4号线
ZZM_CN_076655d5e202,1号线,0.35,line_mention,1号线
ZZM_CN_662a5a361bc3,4号线,0.35,line_mention,4号线
ZZM_CN_bc0b0b87d12b,4号线,0.35,line_mention,4号线
ZZM_CN_4f2512ab2f58,4号线,0.35,line_mention,4号线
ZZM_CN_eb75605be7a5,3号线,0.35,line_mention,3号线
ZZM_CN_a4798fa54b5e,1号线,0.35,line_mention,1号线
ZZM_CN_67aad10f0af4,2号线,0.35,line_mention,2号线
ZZM_CN_917044fcdb77,1号线,0.35,line_mention,1号线
ZZM_CN_917044fcdb77,2号线,0.35,line_mention,2号线
ZZM_CN_917044fcdb77,4号线,0.35,line_mention,4号线
ZZM_CN_917044fcdb77,5号线,0.35,line_mention,5号线
ZZM_CN_917044fcdb77,14号线,0.35,line_mention,14号线
ZZM_CN_6d7e20633a2d,1号线,0.35,line_mention,1号线
ZZM_CN_b7d905c9bada,1号线,0.35,line_mention,1号线
ZZM_CN_b7d905c9bada,2号线,0.35,line_mention,2号线
ZZM_CN_b7d905c9bada,4号线,0.35,line_mention,4号线
ZZM_CN_b7d905c9bada,5号线,0.35,line_mention,5号线
ZZM_CN_b7d905c9bada,14号线,0.35,line_mention,14号线
ZZM_CN_b7d905c9bada,城郊线,0.35,line_mention,城郊线
ZZM_CN_a960a1b3b0ca,4号线,0.35,line_mention,4号线
ZZM_CN_a960a1b3b0ca,14号线,0.35,line_mention,14号线
ZZM_CN_dfac5263b19a,1号线,0.35,line_mention,1号线
ZZM_CN_e98d37484967,1号线,0.35,line_mention,1号线
ZZM_CN_e0498ec422a4,1号线,0.35,line_mention,1号线
ZZM_CN_14715bd19a41,6号线,0.35,line_mention,6号线
ZZM_CN_d42ac53e438f,1号线,0.35,line_mention,1号线
ZZM_CN_d42ac53e438f,2号线,0.35,line_mention,2号线
ZZM_CN_d42ac53e438f,城郊线,0.35,line_mention,城郊线
ZZM_CN_dcffdbc04060,4号线,0.35,line_mention,4号线
ZZM_CN_848647847dd9,4号线,0.35,line_mention,4号线
ZZM_CN_2f093d09f236,4号线,0.35,line_mention,4号线
ZZM_CN_60617da459b7,5号线,0.35,line_mention,5号线
ZZM_CN_fa257d2141b9,5号线,0.35,line_mention,5号线
ZZM_CN_0625bad26e9a,4号线,0.35,line_mention,4号线
ZZM_CN_05898810f2b8,4号线,0.35,line_mention,4号线
ZZM_CN_1f98260ded24,3号线,0.35,line_mention,3号线
ZZM_CN_aa667b103b24,5号线,0.35,line_mention,5号线
ZZM_CN_3934b80da142,1号线,0.35,line_mention,1号线
ZZM_CN_8971103d930a,1号线,0.35,line_mention,1号线
ZZM_CN_8971103d930a,4号线,0.35,line_mention,4号线
ZZM_CN_dae3793fa2f3,3号线,0.35,line_mention,3号线
ZZM_CN_746c661aee39,5号线,0.35,line_mention,5号线
ZZM_CN_d13dec9fd4e9,1号线,0.35,line_mention,1号线
ZZM_CN_0d5f0d9ca269,5号线,0.35,line_mention,5号线
ZZM_CN_4f20ebc4a4fe,5号线,0.35,line_mention,5号线
ZZM_CN_8fcf6cb69c9f,5号线,0.35,line_mention,5号线
ZZM_CN_cea38acb2581,2号线,0.35,line_mention,2号线
ZZM_CN_0fc6a7585ec7,2号线,0.35,line_mention,2号线
ZZM_CN_a91eff80dc41,2号线,0.35,line_mention,2号线
ZZM_CN_a844dee54b23,2号线,0.35,line_mention,2号线
ZZM_CN_8bcef75988fd,2号线,0.35,line_mention,2号线
ZZM_CN_1a104299f07b,1号线,0.35,line_mention,1号线
ZZM_CN_1a104299f07b,2号线,0.35,line_mention,2号线
ZZM_CN_facbb67f8387,1号线,0.35,line_mention,1号线
ZZM_CN_facbb67f8387,2号线,0.35,line_mention,2号线
ZZM_CN_d5d2dbd650b6,1号线,0.35,line_mention,1号线
ZZM_CN_3f8a008eb1fe,3号线,0.35,line_mention,3号线
ZZM_CN_7b5d55677a76,1号线,0.35,line_mention,1号线
ZZM_CN_87a34f3b2b30,1号线,0.35,line_mention,1号线
ZZM_CN_4ce5950dc257,1号线,0.35,line_mention,1号线
ZZM_CN_3fcd40478016,1号线,0.35,line_mention,1号线
ZZM_CN_0a72307888f2,5号线,0.35,line_mention,5号线
ZZM_CN_34f0c4ec86bc,1号线,0.35,line_mention,1号线
ZZM_CN_88c93ae3ac35,1号线,0.35,line_mention,1号线
ZZM_CN_f91f1b367a34,2号线,0.35,line_mention,2号线
ZZM_CN_f91f1b367a34,5号线,0.35,line_mention,5号线
ZZM_CN_82f2dc7f247e,1号线,0.35,line_mention,1号线
ZZM_CN_fbfc4fd642d2,3号线,0.35,line_mention,3号线
ZZM_CN_b3463f4155ad,1号线,0.35,line_mention,1号线
ZZM_CN_ea3f2cc25306,1号线,0.35,line_mention,1号线
ZZM_CN_c5f4bf1ccb85,2号线,0.35,line_mention,2号线
ZZM_CN_fa722ccabf70,1号线,0.35,line_mention,1号线
ZZM_CN_7c8c977e8328,1号线,0.35,line_mention,1号线
ZZM_CN_787f3a97b918,1号线,0.35,line_mention,1号线
ZZM_CN_0f5c6e3a4817,1号线,0.35,line_mention,1号线
ZZM_CN_f62ccdce3b57,1号线,0.35,line_mention,1号线
ZZM_CN_41547ea24423,1号线,0.35,line_mention,1号线
ZZM_CN_0e58f075df4c,1号线,0.35,line_mention,1号线
ZZM_CN_d5c42dbe9452,1号线,0.35,line_mention,1号线
ZZM_CN_c619ce8712f3,1号线,0.35,line_mention,1号线
ZZM_CN_e372cb30580a,1号线,0.35,line_mention,1号线
ZZM_CN_af534222de53,1号线,0.35,line_mention,1号线
ZZM_CN_7b0d20bb36b0,1号线,0.35,line_mention,1号线
ZZM_CN_fdc1ae785427,1号线,0.35,line_mention,1号线
ZZM_CN_b289c5b478f8,1号线,0.35,line_mention,1号线
ZZM_CN_99e0b9c67d20,1号线,0.35,line_mention,1号线
ZZM_CN_ee1e344ad4b7,2号线,0.35,line_mention,2号线
ZZM_CN_46e04972956b,1号线,0.35,line_mention,1号线
ZZM_CN_1295b53662d3,2号线,0.35,line_mention,2号线
ZZM_CN_2946ce4335e1,1号线,0.35,line_mention,1号线
ZZM_CN_b781696254be,1号线,0.35,line_mention,1号线
ZZM_CN_3c3e27b94c92,1号线,0.35,line_mention,1号线
ZZM_CN_db900199a990,2号线,0.35,line_mention,2号线
ZZM_CN_6a5a8ab98fb7,1号线,0.35,line_mention,1号线
ZZM_CN_9d50ace1a903,1号线,0.35,line_mention,1号线
ZZM_CN_6e6e575f171f,1号线,0.35,line_mention,1号线
ZZM_CN_f12e7f0ccb2b,1号线,0.35,line_mention,1号线
ZZM_CN_70df62c560c7,1号线,0.35,line_mention,1号线
ZZM_CN_3365c1826ba1,1号线,0.35,line_mention,1号线
ZZM_CN_a160bce56d77,1号线,0.35,line_mention,1号线
ZZM_CN_d7cef937986a,1号线,0.35,line_mention,1号线
ZZM_CN_7be373f7416b,1号线,0.35,line_mention,1号线
ZZM_CN_36e3dc203d97,1号线,0.35,line_mention,1号线
ZZM_CN_f87d17995dff,1号线,0.35,line_mention,1号线
ZZM_CN_92074709d829,1号线,0.35,line_mention,1号线
ZZM_CN_e70a54ebdd67,1号线,0.35,line_mention,1号线
ZZM_CN_992e8f5f9ff3,1号线,0.35,line_mention,1号线
ZZM_CN_3a33295278a2,1号线,0.35,line_mention,1号线
ZZM_CN_aea3579492a4,1号线,0.35,line_mention,1号线
ZZM_CN_fed93c044d1d,1号线,0.35,line_mention,1号线
ZZM_CN_96e87000c6f9,1号线,0.35,line_mention,1号线
ZZM_CN_b0b5b651b26b,2号线,0.35,line_mention,2号线
ZZM_CN_5ec72a071a09,2号线,0.35,line_mention,2号线
ZZM_CN_c53cc61f30b3,2号线,0.35,line_mention,2号线
ZZM_CN_51d86eefcf4c,1号线,0.35,line_mention,1号线
ZZM_CN_4e5184d5f147,1号线,0.35,line_mention,1号线
ZZM_CN_9074072e0a81,1号线,0.35,line_mention,1号线
ZZM_CN_9074072e0a81,2号线,0.35,line_mention,2号线
ZZM_CN_e4eb7f13c8d2,1号线,0.35,line_mention,1号线
ZZM_CN_80d01322ff70,4号线,0.35,line_mention,4号线
ZZM_CN_f691e4fb92eb,1号线,0.35,line_mention,1号线
ZZM_CN_70c45d034e24,1号线,0.35,line_mention,1号线
ZZM_CN_1b3029c2ca34,1号线,0.35,line_mention,1号线
ZZM_CN_143e020128b7,1号线,0.35,line_mention,1号线
ZZM_CN_7edb3a89d2e4,1号线,0.35,line_mention,1号线
ZZM_CN_b9f860b60647,1号线,0.35,line_mention,1号线
ZZM_CN_c2292ff04e73,1号线,0.35,line_mention,1号线
ZZM_CN_4c0c5cded10b,2号线,0.35,line_mention,2号线
ZZM_CN_31b62fac985e,1号线,0.35,line_mention,1号线
ZZM_CN_f80c9e11d8a4,2号线,0.35,line_mention,2号线
ZZM_CN_8fb8678a8374,1号线,0.35,line_mention,1号线
ZZM_CN_5bc3202989cf,1号线,0.35,line_mention,1号线
ZZM_CN_df6d817bcec6,1号线,0.35,line_mention,1号线
ZZM_CN_5bc46450e95c,2号线,0.35,line_mention,2号线
ZZM_CN_457d2cff8e93,1号线,0.35,line_mention,1号线
ZZM_CN_41e341b4471b,2号线,0.35,line_mention,2号线
ZZM_CN_99dc780470eb,1号线,0.35,line_mention,1号线
ZZM_CN_5cf23f8ba5bd,2号线,0.35,line_mention,2号线
ZZM_CN_c85037896f81,1号线,0.35,line_mention,1号线
ZZM_CN_6890c07f0746,1号线,0.35,line_mention,1号线
ZZM_CN_2ff007ceb7df,1号线,0.35,line_mention,1号线
