doc_id,spatial_scope,line_mentions,label_name,severity,n_explicit_station_links,n_propagated_station_links
ZZM_CN_56b4b7147b01,network_or_unknown,,normal_info,0,0,0
ZZM_CN_500813d551fd,line,2号线,normal_info,0,0,22
ZZM_CN_f9e7ff7e55a8,network_or_unknown,,facility_equipment,0,0,0
ZZM_CN_c0dc1ade6915,station,,normal_info,0,1,0
ZZM_CN_0143de7bfa88,network_or_unknown,,normal_info,0,0,0
ZZM_CN_4ab3aa8cdeb9,network_or_unknown,,normal_info,0,0,0
ZZM_CN_f07d895515e4,network_or_unknown,,normal_info,0,0,0
ZZM_CN_5c820bb30a19,network_or_unknown,,normal_info,0,0,0
ZZM_CN_f5d3b55fbca5,network_or_unknown,,normal_info,0,0,0
ZZM_CN_c8230643b8f5,station,,safety_emergency,3,1,0
ZZM_CN_515a842b946f,station,2号线,normal_info,0,2,20
ZZM_CN_4a097e5b8987,station,,normal_info,0,1,0
ZZM_CN_6bb9b0ea70e4,network_or_unknown,,normal_info,0,0,0
ZZM_CN_ebe49d9686f7,network_or_unknown,,normal_info,0,0,0
ZZM_CN_cf9bee9ac7a7,network_or_unknown,,normal_info,0,0,0
ZZM_CN_24b6f9328e07,line,6号线|7号线|8号线,normal_info,0,0,73
ZZM_CN_243836a79357,network_or_unknown,,normal_info,0,0,0
ZZM_CN_9bc6427bda69,line,7号线|8号线,normal_info,0,0,47
ZZM_CN_281c692893b5,network_or_unknown,,crowd_weather_external,0,0,0
ZZM_CN_0af7c48fb6eb,line,6号线,normal_info,3,0,28
ZZM_CN_574ae8114586,network_or_unknown,,normal_info,0,0,0
ZZM_CN_c7d6f08ab9db,network_or_unknown,,normal_info,0,0,0
ZZM_CN_9f81ba50bf44,line,7号线,normal_info,3,0,20
ZZM_CN_c3475c753d0a,line,7号线,normal_info,3,0,20
ZZM_CN_975dfb297227,network_or_unknown,,normal_info,0,0,0
ZZM_CN_edf7408fd3b0,station,8号线,service_disruption,0,2,27
ZZM_CN_bcb611a9d05f,line,6号线|7号线,normal_info,0,0,47
ZZM_CN_1c67e004d972,line,3号线|郑许线,normal_info,3,0,52
ZZM_CN_8ca963884b20,network_or_unknown,,normal_info,0,0,0
ZZM_CN_7d54520be688,network_or_unknown,,normal_info,0,0,0
ZZM_CN_1486e0cbde14,network_or_unknown,,normal_info,0,0,0
ZZM_CN_e081df22dd92,station,8号线,normal_info,3,1,27
ZZM_CN_d5802999245d,station,6号线,normal_info,3,1,27
ZZM_CN_0c0b023c9346,station,6号线,facility_equipment,3,1,27
ZZM_CN_83fea30b6411,station,6号线,normal_info,3,1,27
ZZM_CN_14fa267b909b,line,6号线,normal_info,0,0,28
ZZM_CN_c1c0afaefcfe,station,6号线,normal_info,3,1,27
ZZM_CN_eaf70b8f1298,station,8号线,service_disruption,3,3,25
ZZM_CN_79832cbea201,network_or_unknown,,crowd_weather_external,1,0,0
ZZM_CN_e1e8d60d73e1,station,1号线,normal_info,0,1,29
ZZM_CN_f099ffdf44c2,network_or_unknown,,normal_info,0,0,0
ZZM_CN_8097da784398,network_or_unknown,,facility_equipment,1,0,0
ZZM_CN_a19c299bb2e9,network_or_unknown,,normal_info,0,0,0
ZZM_CN_27eea154edce,network_or_unknown,,normal_info,0,0,0
ZZM_CN_8dd07ca4307b,line,4号线,normal_info,0,0,27
ZZM_CN_f3074d2f23ac,line,郑许线,normal_info,0,0,27
ZZM_CN_629c0a305a59,network_or_unknown,,normal_info,0,0,0
ZZM_CN_630868bffd90,line,2号线|12号线,normal_info,0,0,33
ZZM_CN_8737de37220c,station,1号线,normal_info,0,1,29
ZZM_CN_c5e35784163b,network_or_unknown,,normal_info,0,0,0
ZZM_CN_d0c0850e023f,station,,normal_info,0,1,0
ZZM_CN_effddb23464a,line,1号线|2号线|3号线|4号线|5号线|6号线|10号线|14号线|城郊线,normal_info,0,0,170
ZZM_CN_1fd98913fc85,network_or_unknown,,normal_info,0,0,0
ZZM_CN_395cfbc9a046,line,10号线,normal_info,0,0,12
ZZM_CN_03beed17e6b5,line,10号线,normal_info,0,0,12
ZZM_CN_733dc7747865,station,,normal_info,0,3,0
ZZM_CN_bbaade3948cd,station,,normal_info,0,1,0
ZZM_CN_8b0857ab4df7,network_or_unknown,,normal_info,0,0,0
ZZM_CN_490a25d55ec0,station,1号线,safety_emergency,2,1,29
ZZM_CN_e9b84f0b71ed,station,3号线,normal_info,0,5,20
ZZM_CN_2ed60ccdcd09,line,3号线,normal_info,0,0,25
ZZM_CN_7d0e1ff7edb9,network_or_unknown,,normal_info,0,0,0
ZZM_CN_2af3443a187a,line,3号线,normal_info,0,0,25
ZZM_CN_304e546d1278,network_or_unknown,,normal_info,0,0,0
ZZM_CN_4d1adfa2d6f1,network_or_unknown,,normal_info,0,0,0
ZZM_CN_175d7713fee0,network_or_unknown,,safety_emergency,2,0,0
ZZM_CN_2eab25dac155,station,5号线,normal_info,0,1,31
ZZM_CN_5b7961782900,line,1号线|2号线|5号线,normal_info,3,0,79
ZZM_CN_b86c8e7d2b21,network_or_unknown,,normal_info,0,0,0
ZZM_CN_f2db22297c31,network_or_unknown,,normal_info,0,0,0
ZZM_CN_f234b998fe41,network_or_unknown,,normal_info,0,0,0
ZZM_CN_39ef36fed15d,station,,normal_info,0,1,0
ZZM_CN_a35bf90d09f2,line,1号线,normal_info,0,0,30
ZZM_CN_77046380a452,line,8号线,safety_emergency,2,0,28
ZZM_CN_7d2cc887b171,station,4号线,normal_info,0,1,26
ZZM_CN_af769af6a70f,station,4号线,normal_info,0,1,26
ZZM_CN_d91842658285,network_or_unknown,,normal_info,0,0,0
ZZM_CN_564809feeba5,network_or_unknown,,crowd_weather_external,0,0,0
ZZM_CN_f06825727e42,network_or_unknown,,normal_info,0,0,0
ZZM_CN_657560c620d2,network_or_unknown,,normal_info,0,0,0
ZZM_CN_e2dfb3b11e3e,network_or_unknown,,normal_info,0,0,0
ZZM_CN_9f7355361c4c,network_or_unknown,,normal_info,1,0,0
ZZM_CN_b12c02d5430d,network_or_unknown,,crowd_weather_external,0,0,0
ZZM_CN_ea380f98f1ce,network_or_unknown,,service_disruption,0,0,0
ZZM_CN_b9220552b236,station,1号线,normal_info,0,1,29
ZZM_CN_5def4e34eaca,network_or_unknown,,crowd_weather_external,1,0,0
ZZM_CN_beaf029fec31,network_or_unknown,,crowd_weather_external,0,0,0
ZZM_CN_b67815e4f2cb,network_or_unknown,,normal_info,0,0,0
ZZM_CN_1b4961351d40,network_or_unknown,,normal_info,0,0,0
ZZM_CN_acde08fa2e7d,network_or_unknown,,normal_info,0,0,0
ZZM_CN_bbd33ea3d80b,network_or_unknown,,facility_equipment,0,0,0
ZZM_CN_8a11b7329e0a,network_or_unknown,,normal_info,0,0,0
ZZM_CN_721b60deff3e,network_or_unknown,,crowd_weather_external,0,0,0
ZZM_CN_b55589a6e21f,network_or_unknown,,normal_info,0,0,0
ZZM_CN_4acfc3c1623f,network_or_unknown,,normal_info,0,0,0
ZZM_CN_4a0d1b96dd37,network_or_unknown,,normal_info,0,0,0
ZZM_CN_e1de8e214b80,network_or_unknown,,normal_info,0,0,0
ZZM_CN_8b3e5da1db92,network_or_unknown,,facility_equipment,0,0,0
ZZM_CN_8330a89c6bc0,network_or_unknown,,normal_info,0,0,0
ZZM_CN_0a548b6c79f1,line,6号线,normal_info,0,0,28
ZZM_CN_ae903fdc42f4,network_or_unknown,,normal_info,0,0,0
ZZM_CN_8af169a4b037,network_or_unknown,,normal_info,0,0,0
ZZM_CN_4b011a28ba2d,station,郑许线,normal_info,0,2,25
ZZM_CN_d16ba3084968,network_or_unknown,,normal_info,0,0,0
ZZM_CN_46dd222b00cb,network_or_unknown,,facility_equipment,0,0,0
ZZM_CN_fef148e32738,network_or_unknown,,crowd_weather_external,0,0,0
ZZM_CN_a3fb2ea56608,station,1号线,normal_info,0,1,29
ZZM_CN_bace27c9df77,network_or_unknown,,normal_info,0,0,0
ZZM_CN_2fa46f545aad,network_or_unknown,,normal_info,0,0,0
ZZM_CN_6c627cf4a6c9,line,5号线,service_disruption,3,0,32
ZZM_CN_af2a7f46dd25,station,,normal_info,0,1,0
ZZM_CN_776883150c90,network_or_unknown,,crowd_weather_external,0,0,0
ZZM_CN_445cef09a996,station,1号线,safety_emergency,3,1,29
ZZM_CN_ac63d74284b5,network_or_unknown,,normal_info,0,0,0
ZZM_CN_b660580d13af,station,6号线,service_disruption,0,1,27
ZZM_CN_c0d3a93e5cd2,network_or_unknown,,normal_info,0,0,0
ZZM_CN_d665965840e3,station,,normal_info,0,1,0
ZZM_CN_9f00be159687,network_or_unknown,,crowd_weather_external,1,0,0
ZZM_CN_609552efac4f,station,2号线|3号线|4号线|5号线,normal_info,0,2,94
ZZM_CN_dff807eeb55e,station,2号线|3号线|4号线|5号线,normal_info,0,2,94
ZZM_CN_9dab48cf0182,station,1号线|2号线|城郊线,normal_info,0,2,66
ZZM_CN_3b85db1aba0b,station,1号线|2号线|城郊线,normal_info,0,2,66
ZZM_CN_2c84c12b91b1,network_or_unknown,,service_disruption,3,0,0
ZZM_CN_a3dcee745f2b,line,1号线|2号线,normal_info,0,0,51
ZZM_CN_33c556cccca0,line,1号线|2号线|4号线|5号线,normal_info,0,0,102
ZZM_CN_ee100f820f13,line,1号线,crowd_weather_external,0,0,30
ZZM_CN_ce65b9545af1,station,2号线,crowd_weather_external,0,7,15
ZZM_CN_4776b7ae33af,line,2号线|城郊线,normal_info,0,0,39
ZZM_CN_3d4745a0861f,line,1号线,service_disruption,2,0,30
ZZM_CN_d45c6d92c060,line,1号线,service_disruption,3,0,30
ZZM_CN_f2102c21deff,station,,crowd_weather_external,0,1,0
ZZM_CN_e11296e7f71c,network_or_unknown,,service_disruption,3,0,0
ZZM_CN_ce88ed60d7a7,line,5号线,crowd_weather_external,0,0,32
ZZM_CN_e9e9a154622f,station,5号线,safety_emergency,3,3,30
ZZM_CN_b051516c1997,station,2号线|12号线,safety_emergency,2,2,32
ZZM_CN_6c234f58b687,network_or_unknown,,normal_info,0,0,0
ZZM_CN_6fbfe67c39dc,network_or_unknown,,normal_info,0,0,0
ZZM_CN_0c386d44106f,network_or_unknown,,normal_info,0,0,0
ZZM_CN_f7dc12ed5539,network_or_unknown,,normal_info,0,0,0
ZZM_CN_ebfd5712e8ef,network_or_unknown,,normal_info,0,0,0
ZZM_CN_bba1b946124a,network_or_unknown,,normal_info,0,0,0
