sample_id,doc_id,sample_type,source_domain,source_type,publish_date,text,pseudo_label,label_name,label_conf,severity,split,conformal_role,need_human_review,sample_published_at,sample_publish_time_source,sample_publish_time_conf,sample_ts_hour,event_published_at,event_start_time,event_time_source,event_time_confidence
ZZM_CN_56b4b7147b01_TITLE_756cc020fc,ZZM_CN_56b4b7147b01,TITLE,zzmetro.cn,zzmetro_cn_news,2025-12-19,融入发展新蓝图 铺就美好出行路 ——访郑州交通发展投资集团有限公司党委书记、董事长徐汉甫 “市委十二届九次全会全面总结了郑州‘十四五’时期的发展成就，擘画了‘十五五’发展蓝图，特别是关于‘交通强市’的战略部署，为郑州公共交通一体化发展指明了方向。”... “市委十二届九次全会全面总结了郑州‘十四五’时期的发展成就，擘画了‘十五五’发展蓝图，特别是关于‘交通强市’的战略部署，为郑州公共交通一体化发展,0,normal_info,0.2,0,unassigned,unassigned,0,2025-12-19 09:00:00,publish_date_only,0.35,2025-12-19 09:00:00,2025-12-19 14:01:00,2025-12-19 14:01:00,proxy_page_publish_time,0.55
ZZM_CN_56b4b7147b01_TITLE_LEAD_0e00dabf37,ZZM_CN_56b4b7147b01,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-12-19,"融入发展新蓝图 铺就美好出行路 ——访郑州交通发展投资集团有限公司党委书记、董事长徐汉甫 “市委十二届九次全会全面总结了郑州‘十四五’时期的发展成就，擘画了‘十五五’发展蓝图，特别是关于‘交通强市’的战略部署，为郑州公共交通一体化发展指明了方向。”... “市委十二届九次全会全面总结了郑州‘十四五’时期的发展成就，擘画了‘十五五’发展蓝图，特别是关于‘交通强市’的战略部署，为郑州公共交通一体化发展
融入发展新蓝图 铺就美好出行路 ——访郑州交通发展投资集团有限公司党委书记、董事长徐汉甫
阅读次数: 373
发布时间: 2025-12-19 14:01",0,normal_info,0.2,0,unassigned,unassigned,0,2025-12-19 14:01:00,page_publish_time,0.85,2025-12-19 14:00:00,2025-12-19 14:01:00,2025-12-19 14:01:00,proxy_page_publish_time,0.55
ZZM_CN_56b4b7147b01_CHUNK_1_e31971120a,ZZM_CN_56b4b7147b01,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-12-19,融入发展新蓝图 铺就美好出行路 ——访郑州交通发展投资集团有限公司党委书记、董事长徐汉甫,0,normal_info,0.2,0,unassigned,unassigned,0,2025-12-19 09:00:00,publish_date_only,0.35,2025-12-19 09:00:00,2025-12-19 14:01:00,2025-12-19 14:01:00,proxy_page_publish_time,0.55
ZZM_CN_56b4b7147b01_CHUNK_3_c3f40ba32b,ZZM_CN_56b4b7147b01,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-12-19,发布时间: 2025-12-19 14:01,0,normal_info,0.0,0,unassigned,unassigned,1,2025-12-19 14:01:00,page_publish_time,0.85,2025-12-19 14:00:00,2025-12-19 14:01:00,2025-12-19 14:01:00,proxy_page_publish_time,0.55
ZZM_CN_500813d551fd_TITLE_199fabcd44,ZZM_CN_500813d551fd,TITLE,zzmetro.cn,zzmetro_cn_news,2025-12-18,郑州地铁2号线“晶小北”、E芯创新工作室文化品牌喜获殊荣 近日，由中国交通报社主办的“交通强国   品牌力量”第七届交通运输优秀文化品牌推选宣传活动结束，本届活动共有648个品牌报名参与，创历届报名数量新高，涵盖铁路、公路、民航、水运、邮政等交通运输各领域。活动经材料初审、初评、终评、公示等环节，郑州地铁2号线 “晶小北”荣获“优秀文化品牌”，E芯创新工作室荣获“传播力文化品牌”。... 近日，由,0,normal_info,0.6,0,unassigned,unassigned,0,2025-12-18 09:00:00,publish_date_only,0.35,2025-12-18 09:00:00,2025-12-18 17:48:00,2025-12-18 17:48:00,proxy_page_publish_time,0.55
ZZM_CN_500813d551fd_TITLE_LEAD_d9bda990a2,ZZM_CN_500813d551fd,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-12-18,"郑州地铁2号线“晶小北”、E芯创新工作室文化品牌喜获殊荣 近日，由中国交通报社主办的“交通强国   品牌力量”第七届交通运输优秀文化品牌推选宣传活动结束，本届活动共有648个品牌报名参与，创历届报名数量新高，涵盖铁路、公路、民航、水运、邮政等交通运输各领域。活动经材料初审、初评、终评、公示等环节，郑州地铁2号线 “晶小北”荣获“优秀文化品牌”，E芯创新工作室荣获“传播力文化品牌”。... 近日，由
郑州地铁2号线“晶小北”、E芯创新工作室文化品牌喜获殊荣
阅读次数: 187
发布时间: 2025-12-18 17:48",0,normal_info,0.6,0,unassigned,unassigned,0,2025-12-18 17:48:00,page_publish_time,0.85,2025-12-18 17:00:00,2025-12-18 17:48:00,2025-12-18 17:48:00,proxy_page_publish_time,0.55
ZZM_CN_500813d551fd_CHUNK_1_79cc8ec3c1,ZZM_CN_500813d551fd,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-12-18,郑州地铁2号线“晶小北”、E芯创新工作室文化品牌喜获殊荣,0,normal_info,0.2,0,unassigned,unassigned,0,2025-12-18 09:00:00,publish_date_only,0.35,2025-12-18 09:00:00,2025-12-18 17:48:00,2025-12-18 17:48:00,proxy_page_publish_time,0.55
ZZM_CN_500813d551fd_CHUNK_3_79d756cfdc,ZZM_CN_500813d551fd,CHUNK_3,zzmetro.cn,zzmetro_cn_news,2025-12-18,发布时间: 2025-12-18 17:48,0,normal_info,0.0,0,unassigned,unassigned,1,2025-12-18 17:48:00,page_publish_time,0.85,2025-12-18 17:00:00,2025-12-18 17:48:00,2025-12-18 17:48:00,proxy_page_publish_time,0.55
ZZM_CN_f9e7ff7e55a8_TITLE_c5b1dfc465,ZZM_CN_f9e7ff7e55a8,TITLE,zzmetro.cn,zzmetro_cn_news,2025-12-15,地铁出行改变生活 ——郑州地铁商业焕新体验 主要介绍今年以来公司地铁商业经营情况，让地铁出行改变生活，持续打造地铁都市生活圈，商业网络持续拓展，早餐服务全面升级，多元品牌构建起郑州市民地铁出行的生活新生态，为广大乘客提供更丰富、更优质、更贴心的出行生活消费体验。... 主要介绍今年以来公司地铁商业经营情况，让地铁出行改变生活，持续打造地铁都市生活圈，商业网络持续拓展，早餐服务全面升级，多元品牌构建,3,facility_equipment,0.2,0,unassigned,unassigned,0,2025-12-15 09:00:00,publish_date_only,0.35,2025-12-15 09:00:00,2025-12-15 17:05:00,2025-12-15 17:05:00,proxy_page_publish_time,0.55
ZZM_CN_f9e7ff7e55a8_TITLE_LEAD_fa6c90d52e,ZZM_CN_f9e7ff7e55a8,TITLE_LEAD,zzmetro.cn,zzmetro_cn_news,2025-12-15,"地铁出行改变生活 ——郑州地铁商业焕新体验 主要介绍今年以来公司地铁商业经营情况，让地铁出行改变生活，持续打造地铁都市生活圈，商业网络持续拓展，早餐服务全面升级，多元品牌构建起郑州市民地铁出行的生活新生态，为广大乘客提供更丰富、更优质、更贴心的出行生活消费体验。... 主要介绍今年以来公司地铁商业经营情况，让地铁出行改变生活，持续打造地铁都市生活圈，商业网络持续拓展，早餐服务全面升级，多元品牌构建
地铁出行改变生活 ——郑州地铁商业焕新体验
阅读次数: 305
发布时间: 2025-12-15 17:05",3,facility_equipment,0.2,0,unassigned,unassigned,0,2025-12-15 17:05:00,page_publish_time,0.85,2025-12-15 17:00:00,2025-12-15 17:05:00,2025-12-15 17:05:00,proxy_page_publish_time,0.55
ZZM_CN_f9e7ff7e55a8_CHUNK_1_d9e2fbe496,ZZM_CN_f9e7ff7e55a8,CHUNK_1,zzmetro.cn,zzmetro_cn_news,2025-12-15,地铁出行改变生活 ——郑州地铁商业焕新体验,0,normal_info,0.0,0,unassigned,unassigned,1,2025-12-15 09:00:00,publish_date_only,0.35,2025-12-15 09:00:00,2025-12-15 17:05:00,2025-12-15 17:05:00,proxy_page_publish_time,0.55
