station_name,lines,station_id,lat,lon,source,source_url,extracted_on,line_count,is_transfer,degree
七里河,4号线|5号线,ZZS_45679e4fc0,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
东十里铺,3号线|4号线,ZZS_28ee7061d7,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
东周,3号线,ZZS_25a45ff011,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
东大街,2号线|3号线,ZZS_51e572c7c3,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
东赵,7号线,ZZS_017f9f7875,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,1
东风南路,1号线,ZZS_065e638aef,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
东风路,2号线|8号线,ZZS_ff491e6fdf,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
中原福塔,12号线|5号线,ZZS_5babce6145,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
中央商务区,4号线|5号线,ZZS_1236ed80e3,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
丰庆路,4号线,ZZS_3546d6d127,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
二七广场,1号线|3号线,ZZS_0ccbb4888d,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
二砂,10号线,ZZS_90377f53c5,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
二里岗,2号线|6号线,ZZS_93b9249040,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
二里岗东,6号线,ZZS_50d016b586,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
五一公园,1号线|5号线,ZZS_27d32a2e36,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
五龙口,8号线,ZZS_1da410d5c4,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
京广南路,5号线,ZZS_4dd2360957,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
京广路,7号线,ZZS_e93055a2d4,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
人民公园,3号线,ZZS_b9cd9992ce,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
人民路,1号线,ZZS_bb3c17098a,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
众意西路,5号线,ZZS_3ada9c57dc,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
会展中心,1号线|4号线,ZZS_87213b5129,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
体育中心,郑许线,ZZS_c87aa9753c,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
儿童医院,12号线|5号线,ZZS_bd17c52fa6,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,2,1,4
八千,郑许线,ZZS_6dc0109470,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
兰寨,1号线,ZZS_52a5a7940c,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
兰河公园,城郊线,ZZS_4ff5935177,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
关虎屯,2号线,ZZS_2bd57be00d,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
兴隆铺,3号线,ZZS_9a51a2fe83,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
农业东路,4号线,ZZS_d86c49fbed,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
农业南路,1号线,ZZS_0660d199a6,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
农业大学,7号线,ZZS_21cd47bbd9,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
农大路,郑许线,ZZS_6183e5bf7e,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
冬青街,8号线,ZZS_a6984fc653,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
冯庄,5号线,ZZS_f97030e2b9,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
冯湾,6号线,ZZS_5d10963dfa,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
凤凰台,3号线,ZZS_29284451da,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
凤凰台南,6号线,ZZS_fab270f5e2,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
刘庄,2号线,ZZS_6b600b7696,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
刘李寺,7号线,ZZS_acc81fc7cf,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
北三环,2号线,ZZS_ff256e6634,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
北二十里铺,4号线,ZZS_6a9a14f197,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
北大学城,7号线,ZZS_05baea497e,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
医学院,10号线|1号线|7号线,ZZS_c9109d3d9f,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,3,1,4
十八里河,城郊线,ZZS_7a33fc56d1,,,metroman.cn,https://www.metroman.cn/cities/zhengzhou,2025-12-23,1,0,2
