manifest_id,doc_id,source_domain,event_published_at,event_ts_hour,title,generated_on
1,ZZM_CN_56b4b7147b01,zzmetro.cn,2025-12-19 14:01:00,2025-12-19 14:00:00,融入发展新蓝图 铺就美好出行路 ——访郑州交通发展投资集团有限公司党委书记、董事长徐汉甫 “市委十二届九次全会全面总结了郑州‘十四五’时期的发展成就，擘画了‘十五五’发展蓝图，特别是关于‘交通强市’的战略部署，为郑州公共交通一体化发展指明了方向。”... “市委十二届九次全会全面总结了郑州‘十四五’时期的发展成就，擘画了‘十五五’发展蓝图，特别是关于‘交通强市’的战略部署，为郑州公共交通一体化发展,2025-12-24
2,ZZM_CN_500813d551fd,zzmetro.cn,2025-12-18 17:48:00,2025-12-18 17:00:00,郑州地铁2号线“晶小北”、E芯创新工作室文化品牌喜获殊荣 近日，由中国交通报社主办的“交通强国   品牌力量”第七届交通运输优秀文化品牌推选宣传活动结束，本届活动共有648个品牌报名参与，创历届报名数量新高，涵盖铁路、公路、民航、水运、邮政等交通运输各领域。活动经材料初审、初评、终评、公示等环节，郑州地铁2号线 “晶小北”荣获“优秀文化品牌”，E芯创新工作室荣获“传播力文化品牌”。... 近日，由,2025-12-24
3,ZZM_CN_f9e7ff7e55a8,zzmetro.cn,2025-12-15 17:05:00,2025-12-15 17:00:00,地铁出行改变生活 ——郑州地铁商业焕新体验 主要介绍今年以来公司地铁商业经营情况，让地铁出行改变生活，持续打造地铁都市生活圈，商业网络持续拓展，早餐服务全面升级，多元品牌构建起郑州市民地铁出行的生活新生态，为广大乘客提供更丰富、更优质、更贴心的出行生活消费体验。... 主要介绍今年以来公司地铁商业经营情况，让地铁出行改变生活，持续打造地铁都市生活圈，商业网络持续拓展，早餐服务全面升级，多元品牌构建,2025-12-24
4,ZZM_CN_c0dc1ade6915,zzmetro.cn,2025-10-09 10:12:00,2025-10-09 10:00:00,喜报！会展中心站青年集体荣获2025年河南省青年五四奖 以青春之名筑梦，用实干之姿建功。近日，河南省总工会、共青团河南省委等多部门联合下发《关于表彰2025年河南省群团工作领域先进典型的决定》，郑州地铁会展中心站青年集体荣获2025年河南省青年五四奖。... 以青春之名筑梦，用实干之姿建功。近日，河南省总工会、共青团河南省委等多部门联合下发《关于表彰2025年河南省群团工作领域先进典型的决定》，郑,2025-12-24
5,ZZM_CN_0143de7bfa88,zzmetro.cn,2025-09-05 17:16:00,2025-09-05 17:00:00,从地铁车站到天安门广场：退役士兵春孝勇的预备役风采——郑州地铁站务员以预备役身份参加抗战胜利80周年阅兵纪实 9月3日上午，纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会在北京天安门广场隆重举行。春孝勇，从空降兵某部退役后成为郑州地铁站务员，这次以军人姿态再次踏上阅兵场。这是他第三次参加阅兵活动，也是第一次以预备役部队方队队员身份接受检阅。... 9月3日上午，纪念中国人民抗日战争暨世界反,2025-12-24
6,ZZM_CN_4ab3aa8cdeb9,zzmetro.cn,2025-06-21 20:30:00,2025-06-21 20:00:00,七一前夕 郑州国资国企举行“行走的思政课”劳模宣讲会 七一前夕，郑州国资国企举行“行走的思政课”劳模宣讲会 。... 七一前夕，郑州国资国企举行“行走的思政课”劳模宣讲会 。,2025-12-24
7,ZZM_CN_f07d895515e4,zzmetro.cn,2025-06-10 16:38:00,2025-06-10 16:00:00,奋笔逐光，青春启航！ 郑州地铁爱心助考、“晶”心为您，与梦想一同出发！ 为期三天的高考圆满落下帷幕，广大考生顺利完成了这场人生的重要答卷。6月7日～9日高考期间，郑州地铁“爱心助考·‘晶’心为您”主题活动温暖相伴，全力守护广大考生逐梦之路。... 为期三天的高考圆满落下帷幕，广大考生顺利完成了这场人生的重要答卷。6月7日～9日高考期间，郑州地铁“爱心助考·‘晶’心为您”主题活动温暖相伴，全力守护广,2025-12-24
8,ZZM_CN_5c820bb30a19,zzmetro.cn,2025-05-27 16:06:00,2025-05-27 16:00:00,双网融合绘就绿色出行新图景—交发集团、公交集团联合推进基层党建“书记项目” 双网融合绘就绿色出行新图景—郑州交发集团党委、公交集团党委联合推进基层党建“书记项目”。... 双网融合绘就绿色出行新图景—郑州交发集团党委、公交集团党委联合推进基层党建“书记项目”。,2025-12-24
9,ZZM_CN_f5d3b55fbca5,zzmetro.cn,2025-03-24 13:44:00,2025-03-24 13:00:00,春风有信 花开有期 乘地铁赴一场春日之约 春风有信 花开有期 乘地铁赴一场春日之约... 春风有信 花开有期 乘地铁赴一场春日之约,2025-12-24
10,ZZM_CN_c8230643b8f5,zzmetro.cn,2025-03-14 13:39:00,2025-03-14 13:00:00,交通安全“救”在身边   “红十字应急救护一体机”捐赠仪式在郑州地铁举行 3月12日上午，中国红十字基金会“滴滴应急救援”项目捐赠仪式于郑州地铁高铁公园站举行。... 3月12日上午，中国红十字基金会“滴滴应急救援”项目捐赠仪式于郑州地铁高铁公园站举行。,2025-12-24
